Nom du produit,Marque,Type CPU,Implémentation CPU,Référence,Stockage,RAM,Taille écran,Prix,Site web,Catégorie
Lenovo IdeaPad Flex 5 14ABR8 82XX00CLMH - Ordinateur portable 2-en-1 - 14 pouces,Lenovo,AMD Ryzen 5,7430U,82XX00CLMH,512 GB,8 GB,14 Inch,679,bol.com,ORDINATEUR
ASUS Zenbook 14 OLED UX3405MA-PP701W - Ordinateur portable - 14 pouces,ASUS,,185H,90NB11R1-M01480,1000 GB,32 GB,14 Inch,1499,bol.com,ORDINATEUR
Acer Aspire 3 A314-23P-R8XX - Ordinateur portable - 14 pouces,Acer,AMD Ryzen 3,7320U,NX.KDDEH.00P,128 GB,8 GB,14 Inch,389,bol.com,ORDINATEUR
Lenovo Legion Slim 5 16AHP9 83DH006JMH - Ordinateur portable de Gaming - 16 pouces - 165 Hz,Lenovo,AMD Ryzen 7,8845HS,83DH006JMH,1000 GB,16 GB,16 Inch,1379,bol.com,ORDINATEUR
"ROG Zephyrus G14 GA403UI-QS024W (2024) - Ordinateur portable - 14"" WQHD - 120 Hz - AMD Ryzen 9 8945HS - NVIDIA GeForce RTX 4070 - 32 GB LPDDR5X - 1 To SSD - Windows 11 Home - tsb QWERTY US International - Grijs",ASUS,AMD Ryzen 9,8945HS,90NR0HX1-M00240,1000 GB,32 GB,14 Inch,1894,bol.com,ORDINATEUR
Ordinateur portable Asus X5155KA-EJ217 - 15 pouces FullHD - Intel - 512 Go - Windows 11 - Argent,ASUS,Intel Celeron,N4500,X515KA-EJ217,512 GB,8 GB,15.6 Inch,339,bol.com,ORDINATEUR
"Samsung Galaxy Book4 (15,6"", Intel Core™ i5, 8 Go, 512 Go)",Samsung,Intel Core i5,1335U,NP750XGJ-KS3NL,512 GB,8 GB,15.6 Inch,579,bol.com,ORDINATEUR
"ASUS VivoBook S 15 OLED M5506UA-MA067W - Ordinateur portable - 15,6 pouces",ASUS,AMD Ryzen 7,8845HS,90NB1473-M004C0,1000 GB,16 GB,15.6 Inch,959,bol.com,ORDINATEUR
"Apple MacBook Pro 2024 14,2'' - M4, processeur 10 Core , GPU 10 Core , 16 Go de RAM, SSD 512 GB , Qwerty, Zwart",Apple,Apple M4,M4,MW2U3N/A,512 GB,16 GB,14.2 Inch,1819,bol.com,ORDINATEUR
Lenovo IdeaPad 1 15ALC7 | 82R400F6MH,Lenovo,AMD Ryzen 7,5700U,82R400F6MH,512 GB,16 GB,15.6 Inch,499,bol.com,ORDINATEUR
"Lenovo IdeaPad 1 15ALC7 82R400UMMH - Ordinateur portable - 15,6 pouces",Lenovo,AMD Ryzen 5,5625U,82R400UMMH,512 GB,16 GB,15.6 Inch,479,bol.com,ORDINATEUR
HP Chromebook 14a-nf0702nd - 14 pouces,HP,Intel N200,N200,AE1B6EA#ABH,128 GB,8 GB,14 Inch,249,bol.com,ORDINATEUR
ASUS ROG Zephyrus G16 GU605MI-QP121W - Ordinateur portable de Gaming - 16 pouces - 240 Hz,ASUS,,155H,90NR0IS3-M005N0,1000 GB,32 GB,16 Inch,1899,bol.com,ORDINATEUR
ASUS TUF A16 FA617NSR-RL071W - Ordinateur portable de Gaming - 16 pouces - 144 Hz,ASUS,AMD Ryzen 7,7435HS,90NR0JM1-M00420,512 GB,16 GB,16 Inch,899,bol.com,ORDINATEUR
"Lenovo IdeaPad Slim 3 Chrome 14M868, MediaTek, 35,6 cm (14""), 1920 x 1080 pixels, 8 Go, 128 Go, ChromeOS",Lenovo,MediaTek Kompanio 520,Kompanio 520,82XJ002AMH,128 GB,8 GB,14 Inch,296,bol.com,ORDINATEUR
MSI Sword 16 HX B14VGKG-448NL - Ordinateur portable de Gaming - 16 pouces - 240 Hz,MSI,Intel Core i7,i7-14650HX,9S7-15P214-448,1000 GB,16 GB,16 Inch,1849,bol.com,ORDINATEUR
Apple MacBook Air (2024) 13.6 - M3 - 16 GB - 256 GB - Minuit,Apple,Apple M3,M3,MC8K4N/A,256 GB,16 GB,13.6 Inch,1102,bol.com,ORDINATEUR
"Acer Nitro V 15 ANV15-41 - Ordinateur portable de Gaming - 15,6 pouces - 144 Hz",Acer,AMD Ryzen 7,7735HS,NH.QPDEH.00F,1000 GB,16 GB,15.6 Inch,980,bol.com,ORDINATEUR
"ASUS Vivobook Go 14 E1404FA-NK383W, AMD Ryzen™ 5, 2,8 GHz, 35,6 cm (14""), 1920 x 1080 pixels, 8 Go, 512 Go",ASUS,AMD Ryzen 5,7520U,90NB0ZS1-M00HA0,512 GB,8 GB,14 Inch,549,bol.com,ORDINATEUR
Acer Aspire 3 14 A314-42P-R4J5 - Ordinateur portable - 14 pouces,Acer,AMD Ryzen 7,5700U,NX.KSFEH.00D,512 GB,16 GB,14 Inch,589,bol.com,ORDINATEUR
Lenovo Legion Slim 5 16ARP9 83EX001KMH - Ordinateur portable de Gaming - 16 pouces - 165 Hz,Lenovo,AMD Ryzen 7,7435HS,83EX001KMH,512 GB,16 GB,16 Inch,1399,bol.com,ORDINATEUR
"MSI Cyborg 15 A13UC-689NL - Ordinateur portable de Gaming - 15,6 pouces - 144 Hz",MSI,Intel Core i7,i7-13620H,9S7-15K111-689,512 GB,16 GB,15.6 Inch,769,bol.com,ORDINATEUR
"Ordinateur portable ProBook 450 15,6 pouces G10 Wolf Pro Security Edition, 15,6"", Windows 11 Pro, Intel Core™ i7, 16 Go de RAM, 512 Go SSD, FHD",HP,Intel Core i7,i7-1355U,85D30EA#ABH,512 GB,16 GB,15.6 Inch,799,bol.com,ORDINATEUR
"HP Probook 450 G10 - ordinateur portable professionnel - 15,6 FHD - i5-1335U - 16 Go - 512 Go - W11P - Éclairage du clavier - Garantie 3 ans",HP,Intel Core i5,i5-1335U,969H0ET#ABB,512 GB,16 GB,15.6 Inch,801,bol.com,ORDINATEUR
"MEDION AKOYA 30035743, Intel® Celeron® N, 1,1 GHz, 35,6 cm (14""), 1920 x 1080 pixels, 4 Go, 128 Go",MEDION,Intel Celeron,Intel Celeron N,MD62560,1000 GB,4 GB,14 Inch,199,bol.com,ORDINATEUR
"ASUS ROG Strix G17 G713PV-LL166W - Ordinateur portable de Gaming - 17,3 pouces - 240 Hz",ASUS,AMD Ryzen 9,7940HX,90NR0C34-M00D70,2000 GB,32 GB,17.3 Inch,1799,bol.com,ORDINATEUR
"Qualcomm Snapdragon X1E78100 (42MB Cache, 3.4GHz), 16GB LPDDR5x-SDRAM, 1000GB SSD, 39.6 cm (15.6"") 3K 2880 x 1620 OLED, Qualcomm Adreno GPU, LAN, WLAN, Webcam, Windows 11 Home 64-bit",ASUS,Qualcomm Snapdragon X Elite,X1E-78-100,90NB14Q2-M002D0,1000 GB,16 GB,15.6 Inch,1049,bol.com,ORDINATEUR
ASUS VivoBook S 16 Flip TN3604YA-MC131W - Ordinateur portable 2-en-1 - 16 pouces,ASUS,AMD Ryzen 7,7730U,90NB1042-M005L0,1000 GB,16 GB,16 Inch,699,bol.com,ORDINATEUR
HP Pavilion x360 14-ek1771nd - Ordinateur portable 2-en-1 - 14 pouces,HP,Intel Core i7,i7-1355U,A4CS0EA#ABH,1000 GB,16 GB,14 Inch,869,bol.com,ORDINATEUR
"Lenovo IdeaPad Flex 3 Chromebook 15IJL7 82T3001RMH - 15,6 pouces - 2-en-1",Lenovo,Intel Celeron,N4500,82T3001RMH,128 GB,8 GB,15.6 Inch,339,bol.com,ORDINATEUR
Lenovo Yoga Pro 9 16IMH9 83DN006WMH - Ordinateur portable Creator - 16 pouces - 165 Hz,Lenovo,,185H,83DN006WMH,1000 GB,32 GB,16 Inch,1929,bol.com,ORDINATEUR
ASUS ROG Strix G16 G614JIR-N4002W - Ordinateur portable de Gaming - 16 pouces - 240 Hz,ASUS,Intel Core i9,i9-14900HX,90NR0IG5-M005Z0,1000 GB,32 GB,16 Inch,1999,bol.com,ORDINATEUR
"AMD Ryzen AI 9 365 (34Mo Cache, 2GHz), 24Go LPDDR5x-SDRAM, 1000Go SSD, 40.6 cm (16"") 3K 2880 x 1800 OLED, AMD Radeon 880M, WLAN, Webcam, Windows 11 Home 64-bit",ASUS,,365,90NB13M1-M00140,1000 GB,24 GB,16 Inch,1399,bol.com,ORDINATEUR
"MSI Vector 16 HX A14VHG-677NL 16 QHD+, i7-14650HX, 16 Go, 1 To, 4080, W11",MSI,Intel Core i7,i7-14650HX,9S7-15M142-677,1000 GB,16 GB,16 Inch,2399,bol.com,ORDINATEUR
"ASUS VivoBook S 15 OLED S5506MA-MA074W - Ordinateur portable - 15,6 pouces",ASUS,,155H,90NB14E1-M009P0,1000 GB,16 GB,15.6 Inch,1109,bol.com,ORDINATEUR
"Acer Chromebook Spin 311 CP31-3H-K1BJ - Chromebook 2-en-1 - 11,6 pouces",Acer,MediaTek MT8183,Kompanio 500,NX.HUVEH.006,64 GB,8 GB,11.6 Inch,359,bol.com,ORDINATEUR
"HP , 512 Go, SSD, DOS gratuit",HP,,125U,9Y7S7ET,512 GB,16 GB,16 Inch,795,bol.com,ORDINATEUR
Acer Chromebook Spin 314 CP314-2HN-C8RG - Chromebook 2-en-1 - 14 pouces,Acer,,100,NX.KYHEH.008,128 GB,8 GB,14 Inch,499,bol.com,ORDINATEUR
"ASUS ProArt PX13 HN7306WV-LX006X - Ordinateur portable Creator - 13,3 pouces",ASUS,,HX 370,90NB14L1-M00100,1000 GB,32 GB,13.3 Inch,2159,bol.com,ORDINATEUR
Lenovo IdeaPad Slim 3 Chromebook 14M868 82XJ003WMH - 14 pouces,Lenovo,MediaTek Kompanio 520,520,82XJ003WMH,64 GB,4 GB,14 Inch,229,bol.com,ORDINATEUR
"ASUS ROG GV601VV-NF019W, Intel® Core™ i9, 40,6 cm (16""), 2560 x 1600 pixels, 16 Go, 1 To, Windows 11 Home",ASUS,Intel Core i9,i9-13900H,90NR0D11-M001R0,1000 GB,16 GB,16 Inch,1649,bol.com,ORDINATEUR
MSI Vector 16 HX A14VHG-671NL,MSI,Intel Core i9,i9-14900HX,9S7-15M142-671,1000 GB,32 GB,16 Inch,2350,bol.com,ORDINATEUR
"Intel Celeron N4500 (1,1 GHz, 4 Mo L3), 39,6 cm (15,6"") FHD IPS ComfyView (1 920 x 1 080), 8 Go de SDRAM DDR4, SSD PCIe NVMe de 512 Go, Graphiques Intel UHD, Wi-Fi 6 AX + BT, Windows 11 Home, États-Unis Int",Acer,Intel Celeron,N4500,NX.A6LEH.00Y,512 GB,8 GB,15.6 Inch,339,bol.com,ORDINATEUR
Intel Core Intel _ _ _ _ _,ASUS,Intel Core i5,i5-1235U,Vivobook 15 - X1504Z,512 GB,16 GB,15.6 Inch,519,bol.com,ORDINATEUR
"Lenovo IdeaPad Slim 3 15IAH8 83ER00G6MH - Ordinateur portable - 15,6 pouces",Lenovo,Intel Core i5,12450H,83ER00G6MH,512 GB,16 GB,15.6 Inch,529,bol.com,ORDINATEUR
"Ordinateur portable MEDION E17223 (MD62638) de 43,9 cm (17,3"")",MEDION,Intel Core i5,Intel® Prozessor,MD62638,1000 GB,4 GB,17.3 Inch,349,bol.com,ORDINATEUR
"HP Victus Gaming 15-fb2287nw, AMD Ryzen™ 5, 4,3 GHz, 39,6 cm (15.6""), 1920 x 1080 pixels, 16 Go, 512 Go",HP,AMD Ryzen 5,8645HS,A58STEA,512 GB,16 GB,15.6 Inch,799,bol.com,ORDINATEUR
Lenovo IdeaPad 5 2-en-1 16IRU9 83DU0043MH - Ordinateur portable 2-en-1 - 16 pouces,Lenovo,,150U,83DU0043MH,1000 GB,16 GB,16 Inch,1009,bol.com,ORDINATEUR
"HP Probook 450 G10 - ordinateur portable professionnel - 15,6 FHD - i5-1335U - 16 Go - 512 Go - W11P - Éclairage du clavier - Garantie 3 ans",HP,Intel Core i5,i5-1335U,968N8ET#ABB,512 GB,16 GB,15.6 Inch,974,bol.com,ORDINATEUR
"AMD Ryzen 7 5700U (1,8 GHz, 8 Mo L3), 39,6 cm (15,6"") FHD ComfyView (1 920 x 1 080), 32 Go de SDRAM DDR4, SSD PCIe NVMe de 1 To, Graphiques AMD Radeon, Wi-Fi 6 AX (2x2) + BT, Windows 11 Home, clavier QWERTY",Acer,AMD Ryzen 7,5700U,NX.KSJEH.006,1000 GB,32 GB,15.6 Inch,697,bol.com,ORDINATEUR
Acer A315 15.6 F- HD Ryzen 5 5500U - 16Go -512Go - W11Pro,Acer,AMD Ryzen 5,5500U,NX.KSJEX.00X,512 GB,16 GB,15.6 Inch,439,bol.com,ORDINATEUR
Acer Aspire 5 14 A514-56P-54QA - Ordinateur portable - 14 pouces,Acer,Intel Core i5,i5-1335U,NX.KHREH.00H,512 GB,16 GB,14 Inch,749,bol.com,ORDINATEUR
"Ordinateur portable E15223, processeur Intel N100, Windows 11 Home (mode S), écran FHD de 39,6 cm (15,6''), SSD 128 GB , RAM 4 GB",MEDION,,Intel® Processor,MD62644,1000 GB,4 GB,15.6 Inch,249,bol.com,ORDINATEUR
"AMD Ryzen AI 9 365 (34Mo Cache, 2GHz), 24Go LPDDR5x-SDRAM, 1000Go SSD, 40.6 cm (16"") 3K 2880 x 1800 OLED, AMD Radeon 880M, WLAN, Webcam, Windows 11 Home 64-bit",ASUS,,365,90NB13M2-M00AM0,1000 GB,24 GB,16 Inch,1399,bol.com,ORDINATEUR
"HP ZBook Fury 17 G7 - Ordinateur portable station de travail - 17,3 pouces - Intel Core i7-10750H - 32 GB de RAM, 1 To SSD - Nvidia Quadro RTX 4000 - Windows 10 Pro",HP,Intel Core i7,i7-10750H,2C9V2EA,1000 GB,32 GB,17.3 Inch,1499,bol.com,ORDINATEUR
"Acer Aspire 3 A315-59-70GU - Ordinateur portable - 15,6 pouces",Acer,Intel Core i7,i7-1255U,NX.K6SEH.01A,512 GB,16 GB,15.6 Inch,599,bol.com,ORDINATEUR
"ACER Chromebook 311 C723T-TCO-K7NP MediaTek Kompanio 528 11,6 pouces HD tactile 4 Go DDR4X 32 Go eMMC Wi-Fi 6 AX Chrome OS noir schiste",Acer,MediaTek Kompanio 520,Kompanio 528 - MT8186TV/AZA,NX.KK5EH.001,32 GB,4 GB,11.6 Inch,265,bol.com,ORDINATEUR
Microsoft Surface Pro 11e édition - Copilot+ Laptop - Écran tactile OLED 13 pouces - Snapdragon X Plus/ 16 Go de RAM / 256 Go de SSD - Platinum,Microsoft,Qualcomm Snapdragon X Plus,X Plus,EP2-08340,256 GB,16 GB,13 Inch,1199,bol.com,ORDINATEUR
ASUS ROG Zephyrus G16 GA605WI-QR024W - Ordinateur portable de Gaming - 16 pouces - 240 Hz,ASUS,,HX 370,90NR0J91-M000Z0,1000 GB,16 GB,16 Inch,2099,bol.com,ORDINATEUR
"ASUS TUF Gaming A15 AMD Ryzen 5 7535H (19 Mo de cache, 3,3 GHz), 16 Go DDR5-SDRAM, 512 Go SSD, 39,6 cm (15,6"") Full HD 1920 x 1080 IPS, AMD Radeon 660M, NVIDIA GeForce RTX 3050 (4 Go GDDR6), LAN, WLAN, Webcam, Windows 11 Home 64 bits",ASUS,AMD Ryzen 5,7535H,90NR0JF7-M000P0,512 GB,16 GB,15.6 Inch,699,bol.com,ORDINATEUR
MEDION E14223,MEDION,Intel Celeron,Intel Celeron N,MD62560,1000 GB,4 GB,14 Inch,199,bol.com,ORDINATEUR
Lenovo Ideapad 17.3 F- HD - i5-1235U - 16 Go RAM - 512 Go SSD - W11P,Lenovo,Intel Core i5,1235U,82RL00CEPB,512 GB,16 GB,17.3 Inch,679,bol.com,ORDINATEUR
"Acer Aspire 5 17 A517-58GM-76JM - Ordinateur portable Creator - 17,3 pouces",Acer,Intel Core i7,1355U,NX.KJLEH.00K,1000 GB,16 GB,17.3 Inch,1039,bol.com,ORDINATEUR
"Ordinateur portable HP 15-fd0130nd Intel® Core™ i3 i3-1215U 39,6 cm (15.6"") Full HD 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 6E (802.11ax) Windows 11 Home Grijs",HP,Intel Core i3,i3-1215U,B32BSEA#ABH,512 GB,8 GB,15.6 Inch,369,bol.com,ORDINATEUR
"Lenovo V15 G4 15,6 F- HD / I5-13420H / 8 Go / 512 Go / W11P",Lenovo,Intel Core i5,13420H,83A1008WRM,512 GB,8 GB,15.6 Inch,499,bol.com,ORDINATEUR
"MSI Katana 17 AI B8VG-833NL - Ordinateur portable de Gaming - 17,3 pouces - 240 Hz",MSI,AMD Ryzen 9,8945HS,KATANA A17 AI B8VG-833NL,1000 GB,16 GB,17.3 Inch,1571,bol.com,ORDINATEUR
Acer Aspire 3 A314-23P-R2LW - Ordinateur portable - 14 pouces,Acer,AMD Athlon Silver,7120U,NX.KDDEH.00Q,128 GB,8 GB,14 Inch,339,bol.com,ORDINATEUR
MSI Modern 14 F13MG-019NL - Ordinateur portable - 14 pouces,MSI,Intel Core i3,i3-1315U,MODERN 14 F13MG-019NL,512 GB,8 GB,14 Inch,439,bol.com,ORDINATEUR
"Ordinateur portable HP 15-fd0150nd Intel® Core™ i5 i5-1235U 39,6 cm (15.6"") Full HD 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 6E (802.11ax) Windows 11 Home Grijs",HP,Intel Core i5,i5-1235U,B35TKEA#ABH,512 GB,8 GB,15.6 Inch,439,bol.com,ORDINATEUR
"MSI Modern 15 F13MG-019NL Intel® Core™ i5 i5-1335U Ordinateur portable 39,6 cm (15.6"") Full HD 16 GB DDR4-SDRAM 512 GB SSD Wi-Fi 6E (802.11ax) Windows 11 Home Argent",MSI,Intel Core i5,i5-1335U,MODERN 15 F13MG-019NL,512 GB,16 GB,15.6 Inch,539,bol.com,ORDINATEUR
Lenovo Legion Slim 5 16AHP9 83DH006EMH - Ordinateur portable de Gaming - 16 pouces - 240 Hz,Lenovo,AMD Ryzen 7,8845HS,83DH006EMH,1000 GB,32 GB,16 Inch,1499,bol.com,ORDINATEUR
MSI Raider GE68 HX 14VHG-632NL - Ordinateur portable 16'' - 2560 x 1600 Quad HD+ - Intel Core i9-14900HX - NVIDIA GeForce RTX 4080 - 32 GB DDR5 - 2 To SSD - Windows 11 Home - QWERTY - noir,MSI,Intel Core i9,i9-14900HX,9S7-15M131-632,2000 GB,32 GB,16 Inch,2959,bol.com,ORDINATEUR
"Acer Chromebook 511 C741LT-S9W3 - 11,6 pouces",Acer,Qualcomm Snapdragon,7c,NX.A71EH.00F,32 GB,4 GB,11.6 Inch,199,bol.com,ORDINATEUR
Acer Aspire 3 15 A315-44P-R9PH - AZERTY,Acer,AMD Ryzen 7,AMD Ryzen 7-5700U,A315-44P,512 GB,16 GB,15.6 Inch,519,bol.com,ORDINATEUR
ASUS TUF A16 FA607PI-QT091W - Ordinateur portable de Gaming - 16 pouces - 165 Hz,ASUS,AMD Ryzen 9,7940HX,90NR0IV4-M004H0,1000 GB,16 GB,16 Inch,1499,bol.com,ORDINATEUR
"MacBook Air, 15.3"" Liquid Retina, 2880x1864, Apple M3 8-core CPU, 10-core GPU, 512GB SSD, 8GB unified memory, 2 x Thunderbolt 3, 802.11ax, Bluetooth 5.3, macOS",Apple,Apple M3,M3,MRYN3N/A,512 GB,8 GB,15.3 Inch,1618,bol.com,ORDINATEUR
Ordinateur portable Intel Pentium N 3700 - 14 pouces - 16 Go de Ram 256 Go SSD - Ordinateur portable - Résolution 1920*1080 - Windows 11 - Déverrouillage - Ordinateur - Office - Étude - Gamer - PC - Grijs,Merkloos’,Intel Pentium,N3700,FH8066501715923,256 GB,16 GB,14 Inch,239,bol.com,ORDINATEUR
"Lenovo IdeaPad 3 17IAU7 82RL00BQMH - Ordinateur portable - 17,3 pouces",Lenovo,Intel Core i3,1215U,82RL00BQMH,512 GB,8 GB,17.3 Inch,525,bol.com,ORDINATEUR
ASUS TUF Gaming F17 FX707VI-HX057W,ASUS,Intel Core i7,i7-13620H,90NR0FI5-M00780,2000 GB,32 GB,17.3 Inch,2099,bol.com,ORDINATEUR
Lenovo Legion 5 16IRX9 - Ordinateur portable de Gaming - 16 pouces - 165Hz,Lenovo,Intel Core i7,14650HX,83DG00FBMH,512 GB,16 GB,16 Inch,1409,bol.com,ORDINATEUR
Acer Aspire 3 A317-55P-C236,Acer,,N100,NX-KDREH-003,128 GB,4 GB,17.3 Inch,369,bol.com,ORDINATEUR
"HP Probook 450 G10 - ordinateur portable professionnel - 15,6 FHD - i7-1355U - 16 Go - 512 Go - W11P - Éclairage du clavier - Garantie 3 ans",HP,Intel Core i7,i7-1355U,969H2ET,512 GB,16 GB,15.6 Inch,969,bol.com,ORDINATEUR
"Acer Nitro 5 AN517-55-57Y1, Intel® Core™ i5, 2 GHz, 43,9 cm (17.3""), 1920 x 1080 pixels, 16 Go, 512 Go",Acer,Intel Core i5,12450H,NH.QLFEH.00D,512 GB,16 GB,17.3 Inch,1049,bol.com,ORDINATEUR
ASUS TUF A16 FA607PV-N3095W - Ordinateur portable de Gaming 16 pouces - 165 Hz,ASUS,AMD Ryzen 9,7940HX,90NR0IX4-M004N0,1000 GB,32 GB,16 Inch,1449,bol.com,ORDINATEUR
"Ordinateur portable de Gaming Budget Ryzen 5 6 Core 15,6""|16 Go de RAM, 512 Go de SSD|5625U 6 Core@2,3-4,3 - Alimenté par HP 255 G9 Series - Windows 11 Professionnel",LalaShops,AMD Ryzen 5,5625U,ZLAP_AKD_A4,512 GB,16 GB,24 Inch,459,bol.com,ORDINATEUR
"Lenovo Thinkbook 16 G7 IML 16'' FHD+ WUXGA Cam IR 300 nits Intel Ultra Core 7-155H 16 Go DDR5, 512 Go SSD W11P BL KB FPR 3Y Depot",Lenovo,,Intel® Core™ Ultra 7 155H,21MS005DRM,512 GB,16 GB,16 Inch,849,bol.com,ORDINATEUR
"Acer Aspire 3 A315-59-31N1 - Ordinateur portable - 15,6 pouces",Acer,Intel Core i3,i3-1215U,NX.K6SEH.016,512 GB,8 GB,15.6 Inch,479,bol.com,ORDINATEUR
"Samsung Galaxy Book5 360 - Ordinateur portable Copilot+ – 15,6 pouces",Samsung,,256V,NP750QHA-KA1NL,512 GB,16 GB,15.6 Inch,1699,bol.com,ORDINATEUR
Acer Extensa 15 - I3-1215U - 8 Go RAM - 256 Go SSD - W11 pro,Acer,Intel Core i3,1215U,EX215,256 GB,8 GB,15.6 Inch,355,bol.com,ORDINATEUR
